n,b,s,camino compresibilidad,camino virial,presion
20,1146.69,1,71.43500331,61.81462318,558.431846
40,1146.69,1,156.3826188,135.2331026,2521.929728
60,1146.69,1,243.9759414,210.4997087,5975.118811
80,1146.69,1,332.9326952,287.1347003,10947.23522
100,1146.69,1,422.7613737,363.8205876,17455.10977
120,1146.69,1,513.2089396,440.9832612,25510.17688
20,1146.69,1.1,70.32218499,61.81774351,558.4345281
40,1146.69,1.1,154.1463142,135.2397908,2521.936599
60,1146.69,1.1,240.6214205,210.5021213,5975.121878
80,1146.69,1.1,328.4606118,286.2272599,10947.23772
100,1146.69,1.1,417.171265,363.8278267,17455.11254
120,1146.69,1.1,506.5007128,440.9883888,25510.17968
20,1146.69,1.2,69.31155891,61.82052675,558.4366373
40,1146.69,1.2,152.1151407,135.2465359,2521.942935
60,1146.69,1.2,237.5745141,210.5046151,5975.124382
80,1146.69,1.2,324.3987001,286.2316542,10947.2396
100,1146.69,1.2,412.0938806,363.8351316,17455.11467
120,1146.69,1.2,500.4077594,440.9936985,25510.18181
20,1146.69,1.3,68.38667764,61.82302,558.4382552
40,1146.69,1.3,150.2561312,135.2530137,2521.948788
60,1146.69,1.3,234.7857729,210.5072538,5975.126376
80,1146.69,1.3,320.6810271,286.236104,10947.24091
100,1146.69,1.3,407.4468044,363.8425716,17455.1162
120,1146.69,1.3,494.8311816,440.9992908,25510.1833
20,1146.69,1.4,67.53473478,61.82525792,558.4394453
40,1146.69,1.4,148.543614,135.2598632,2521.95419
60,1146.69,1.4,232.2166878,210.5101003,5975.127898
80,1146.69,1.4,317.2562463,286.2406075,10947.24167
100,1146.69,1.4,403.1658537,363.8502049,17455.11715
120,1146.69,1.4,489.693962,441.0053332,25510.18418
20,1146.69,1.5,66.74556612,61.82726572,558.4402576
40,1146.69,1.5,146.95721,134.950456,2521.959171
60,1146.69,1.5,229.8366889,210.5132171,5975.12897
80,1146.69,1.5,314.0835977,286.2451317,10947.24189
100,1146.69,1.5,399.2000784,363.8580698,17455.11752
120,1146.69,1.5,484.934964,441.01211,25510.18442
20,1146.69,1.6,66.01097111,61.82906115,558.4407319
40,1146.69,1.6,145.4804769,134.9577074,2521.963754
60,1146.69,1.6,227.6211078,210.5166669,5975.129604
80,1146.69,1.6,311.1301898,286.2495931,10947.24156
100,1146.69,1.6,395.5083626,363.8661627,17455.11728
120,1146.69,1.6,480.5048538,441.0201201,25510.18396
20,1146.69,1.7,65.32423883,61.83065577,558.4408995
40,1146.69,1.7,144.0999583,134.9650542,2521.967951
60,1146.69,1.7,225.5497521,210.5205121,5975.129798
80,1146.69,1.7,308.3690994,286.2538257,10947.24065
100,1146.69,1.7,392.0570482,363.8743963,17455.11637
120,1146.69,1.7,476.3632501,441.0302864,25510.18269
20,1146.69,1.8,64.67980871,61.83205591,558.4407855
40,1146.69,1.8,142.8045053,134.9725349,2521.971769
60,1146.69,1.8,223.6058854,210.5248145,5975.129533
80,1146.69,1.8,305.7780102,286.2575277,10947.2391
100,1146.69,1.8,388.8182296,363.8825153,17455.11467
120,1146.69,1.8,472.4766784,441.0444459,25510.18039
20,1146.69,1.9,64.07302245,61.83326314,558.4404094
40,1146.69,1.9,141.5847791,134.9802088,2521.975209
60,1146.69,1.9,221.7754796,210.5296329,5975.128774
80,1146.69,1.9,303.3382157,286.2623179,10947.23671
100,1146.69,1.9,385.7685072,363.902502,17455.11142
120,1146.69,1.9,468.8195036,441.8727198,25509.94452
20,1146.69,2,63.4999393,61.83427504,558.4397862
40,1146.69,2,140.4328812,134.988161,2521.978264
60,1146.69,2,220.0466564,210.5350218,5975.127455
80,1146.69,2,301.0338699,286.2721093,10947.23311
100,1146.69,2,382.8879931,363.9247235,17455.10646
120,1146.69,2,465.3667839,441.894829,25509.67381
20,1146.69,2.1,62.9571961,61.83508408,558.4389269
40,1146.69,2.1,139.3420738,134.9968217,2521.980917
60,1146.69,2.1,218.4092636,210.5437977,5975.125408
80,1146.69,2.1,298.8513881,286.277284,10947.22809
100,1146.69,2.1,380.1594995,363.9400821,17455.09874
120,1146.69,2.1,462.0955399,442.029193,25509.45981
20,1146.69,2.2,62.44189979,61.83567879,558.4378387
40,1146.69,2.2,138.3070302,134.8761264,2521.966757
60,1146.69,2.2,216.8545328,210.5534187,5975.122508
80,1146.69,2.2,296.7789679,286.2739922,10947.22071
100,1146.69,2.2,377.5673544,363.9435978,17455.08343
120,1146.69,2.2,458.9841702,442.1557821,25509.23995
20,1146.69,2.3,61.95154391,61.83621318,558.4365247
40,1146.69,2.3,137.3223833,134.9812796,2521.954011
60,1146.69,2.3,215.3748104,210.563085,5975.118451
80,1146.69,2.3,,,10947.1686
100,1146.69,2.3,,,
120,1146.69,2.3,,,
20,1146.69,2.4,61.48394137,61.83632512,558.434987
40,1146.69,2.4,136.3835305,135.0733477,2521.944253
60,1146.69,2.4,213.9633026,210.5734923,5975.089768
80,1146.69,2.4,,,10946.96718
100,1146.69,2.4,,,
120,1146.69,2.4,,,
20,1146.69,2.5,61.03717385,61.83631092,558.433221
40,1146.69,2.5,135.4866652,135.1491717,2521.936505
60,1146.69,2.5,212.6143859,209.6154015,5975.039207
80,1146.69,2.5,,,
100,1146.69,2.5,,,
120,1146.69,2.5,,,
20,1146.69,2.6,60.60954728,61.74291915,558.4312212
40,1146.69,2.6,134.6283392,134.9924288,2521.930515
60,1146.69,2.6,211.3213719,209.2333829,5974.983875
80,1146.69,2.6,,,
100,1146.69,2.6,,,
120,1146.69,2.6,,,
