n,b,s,camino compresibilidad,camino virial,presion
20,1146.69,1,71.43500331,61.81462318,558.431846
40,1146.69,1,156.3826188,135.2331026,2521.929728
60,1146.69,1,243.9759414,210.4997087,5975.118811
80,1146.69,1,332.9326952,287.1347003,10947.23522
100,1146.69,1,422.7613737,363.8205876,17455.10977
120,1146.69,1,513.2089396,440.9832612,25510.17688
20,1146.69,1.05,70.8646132,61.81622902,558.4332646
40,1146.69,1.05,155.2364063,135.2364391,2521.933234
60,1146.69,1.05,242.2566009,210.500909,5975.120419
80,1146.69,1.05,330.6405443,287.1368283,10947.23655
100,1146.69,1.05,419.8961818,363.8242035,17455.11124
120,1146.69,1.05,509.7706606,440.9858067,25510.17837
20,1146.69,1.1,70.32218499,61.81774351,558.4345281
40,1146.69,1.1,154.1463142,135.2397908,2521.936599
60,1146.69,1.1,240.6214205,210.5021213,5975.121878
80,1146.69,1.1,328.4606118,286.2272599,10947.23772
100,1146.69,1.1,417.171265,363.8278267,17455.11254
120,1146.69,1.1,506.5007128,440.9883888,25510.17968
20,1146.69,1.15,69.80522584,61.81917399,558.4356487
40,1146.69,1.15,153.1073467,135.2431567,2521.939831
60,1146.69,1.15,239.0629063,210.503354,5975.123197
80,1146.69,1.15,326.3829057,286.2294509,10947.23874
100,1146.69,1.15,414.5741337,363.8314664,17455.11369
120,1146.69,1.15,503.3841086,440.9910158,25510.18082
20,1146.69,1.2,69.31155891,61.82052675,558.4366373
40,1146.69,1.2,152.1151407,135.2465359,2521.942935
60,1146.69,1.2,237.5745141,210.5046151,5975.124382
80,1146.69,1.2,324.3987001,286.2316542,10947.2396
100,1146.69,1.2,412.0938806,363.8351316,17455.11467
120,1146.69,1.2,500.4077594,440.9936985,25510.18181
20,1146.69,1.25,68.83927227,61.82180721,558.4375033
40,1146.69,1.25,151.1658634,135.2496079,2521.945922
60,1146.69,1.25,236.1504951,210.5059124,5975.12544
80,1146.69,1.25,322.5003302,286.2338717,10947.24033
100,1146.69,1.25,409.7209244,363.8388308,17455.11551
120,1146.69,1.25,497.560168,440.9964508,25510.18263
20,1146.69,1.3,68.38667764,61.82302,558.4382552
40,1146.69,1.3,150.2561312,135.2530137,2521.948788
60,1146.69,1.3,234.7857729,210.5072538,5975.126376
80,1146.69,1.3,320.6810271,286.236104,10947.24091
100,1146.69,1.3,407.4468044,363.8425716,17455.1162
120,1146.69,1.3,494.8311816,440.9992908,25510.1833
20,1146.69,1.35,67.95227692,61.82416911,558.4389003
40,1146.69,1.35,149.3829405,135.256432,2521.951543
60,1146.69,1.35,233.4758425,210.5086472,5975.127194
80,1146.69,1.35,318.9347841,286.2383502,10947.24136
100,1146.69,1.35,405.264012,363.846361,17455.11675
120,1146.69,1.35,492.2117901,441.0022415,25510.18382
20,1146.69,1.4,67.53473478,61.82525792,558.4394453
40,1146.69,1.4,148.543614,135.2598632,2521.95419
60,1146.69,1.4,232.2166878,210.5101003,5975.127898
80,1146.69,1.4,317.2562463,286.2406075,10947.24167
100,1146.69,1.4,403.1658537,363.8502049,17455.11715
120,1146.69,1.4,489.693962,441.0053332,25510.18418
20,1146.69,1.45,67.13285588,61.82628932,558.439896
40,1146.69,1.45,147.735755,134.9468579,2521.956732
60,1146.69,1.45,231.0047136,210.511621,5975.128489
80,1146.69,1.45,315.6406202,286.2428708,10947.24184
100,1146.69,1.45,401.1463376,363.8541073,17455.11741
120,1146.69,1.45,487.2705071,441.0086053,25510.18438
20,1146.69,1.5,66.74556612,61.82726572,558.4402576
40,1146.69,1.5,146.95721,134.950456,2521.959171
60,1146.69,1.5,229.8366889,210.5132171,5975.12897
80,1146.69,1.5,314.0835977,286.2451317,10947.24189
100,1146.69,1.5,399.2000784,363.8580698,17455.11752
120,1146.69,1.5,484.934964,441.01211,25510.18442
20,1146.69,1.55,66.37189675,61.82818913,558.4405349
40,1146.69,1.55,146.2060366,134.9540716,2521.961512
60,1146.69,1.55,228.7096995,210.5148965,5975.129342
80,1146.69,1.55,312.5812931,286.2473782,10947.24179
100,1146.69,1.55,397.3222189,363.8620905,17455.11748
120,1146.69,1.55,482.6815044,441.0159168,25510.18428
20,1146.69,1.6,66.01097111,61.82906115,558.4407319
